"","C001_FD2_ORC","C001_FD3_ORC","C001_L.3_ORC","C001_L.44_ORC","C001_L.92_ORC","C001_R.1_ORC","C001_R.45_ORC","C001_R.82_ORC","C002_FD2_ORC","C002_FD3_ORC","C002_L.3_ORC","C002_L.44_ORC","C002_L.92_ORC","C002_R.1_ORC","C002_R.45_ORC","C002_R.82_ORC","C003_FD2_ORC","C003_FD3_ORC","C003_L.3_ORC","C003_L.44_ORC","C003_L.92_ORC","C003_R.1_ORC","C003_R.45_ORC","C003_R.82_ORC","C004_FD2_ORC","C004_FD3_ORC","C004_L.3_ORC","C004_L.44_ORC","C004_L.92_ORC","C004_R.1_ORC","C004_R.45_ORC","C004_R.82_ORC"
"Qipengyuania spongiae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Qipengyuania xiapuensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quatrionicoccus australiensis",1,75,28,39,4,27,0,13,25,8,13,0,9,3,3,2,8,6,38,84,0,17,5,66,0,8,0,0,1,11,0,55
"Radiobacillus deserti",0,0,0,33,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3
"Radiobacillus kanasensis",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Rahnella aceris",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Rahnella aquatilis",41,6,64,44,25,9,2,47,6,16,23,2,34,50,5,2,1,5,5,16,1,11,34,15,4,9,8,12,40,104,12,5
"Rahnella bonaserana",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rahnella inusitata",5,19,14,492,0,34,2,24,19,1,91,8,1,5,7,2,54,2589,34,61,8,76,48,177,0,168,3,27,58,6,0,42
"Rahnella sikkimica",0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rahnella sp. WMR66",0,0,4,0,0,83,0,1,0,2,0,0,0,1,0,1,5,10,0,13,0,0,0,12,0,4,0,0,1,0,0,6
"Rahnella victoriana",0,0,0,34,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Raineyella fluvialis",0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ralstonia insidiosa",8,10,12,0,0,20,22,6,0,0,0,7,0,0,0,0,8,8,0,62,2,0,0,0,0,0,0,0,0,0,0,23
"Ralstonia mannitolilytica",1,39,4,7,0,92,0,6,0,0,2,0,0,1,0,7,15,0,13,205,0,61,5,27,0,0,0,2,0,9,0,6
"Ralstonia pickettii",3,2,0,0,0,0,1,0,1,0,12,0,0,1,0,0,0,2,0,8,1,0,1,0,1,1,0,0,0,0,2,0
"Ralstonia pseudosolanacearum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
"Ralstonia solanacearum",6,99,16,1,15,20,14,5,1,2,8,9,18,5,2,7,16,96,4,4,14,126,15,9,5,15,18,4,4,51,10,14
"Ralstonia sp. RS642",0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0
"Ralstonia sp. RS647",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ralstonia sp. RS650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ralstonia syzygii",3,1,0,3,5,0,0,9,0,0,3,0,0,5,2,6,16,6,0,36,0,0,5,0,3,0,0,11,0,0,2,1
"Ralstonia wenshanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ramlibacter tataouinensis",3,73,26,207,3,211,3,14,6,14,5,3,10,3,8,7,33,164,42,66,5,255,27,243,6,21,1,17,11,27,3,54
"Raoultella ornithinolytica",22,16,9,29,9,34,11,14,4,1,26,7,25,9,8,12,43,58,29,35,43,118,30,41,46,41,24,41,50,47,8,12
"Raoultella planticola",28,72,17,1,89,31,47,4,72,17,46,55,37,26,5,8,101,83,95,80,48,67,35,19,69,50,100,22,15,33,12,9
"Raoultella terrigena",25,70,41,72,15,91,7,37,5,11,61,13,30,69,6,9,27,51,1,168,10,64,56,469,18,38,15,26,42,44,29,67
"Raoultibacter timonensis",0,0,14,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,0,0
"Raphanus sativus cryptic virus 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
